b3rdPersonAimUseWeaponFOV:ThirdPersonCam,True
bAimModelCrippledLimbsAffectPlayer:AimModel,True
bAllowBlinksDuringSpeech,False
bAllowCancelInSpeechChallenge,True
bAllowCancelInTopLevelSceneSelection,True
bAutoAimBasedOnDistance,True
bBoostpackInitialThrustOnlyOnTakeoff:BoostPack,False
bCameraShotAllowDeadzone,True
bCellRendererAdjustForBound,True
bCombatChargingAimPowerAttacks,True
bCombatFurnitureShouldReload,False
bCombatShipManeuverSurroundEnabled,False
bCrowdStopForPlayerConversations:Crowd,False
bDogmeatDropNonCarryItem,True
bDoWetnessOcclusion,True
bEnableConsoleMenuDuringSurvival,False
bEvaluateForCommandTypeAllowRetrieve,True
bInventoryApplyOverrideTransform,True
bInventoryCellRendererApplyInitialTransform,True
bNoDensityMaskNavmeshOfflineGeneration,True
bPlanetContentVirtualLandingBlockReduceBlockRequests:PlanetContent,True
bPlayerCanActivateTerminalsInUse,True
bPlayerDivingEnabled,False
bPlayerInstantlyStopsContinuousWeapons,False
bShipTargetingCamSpringDampening,True
bShipTargetingConsiderFOVForDistance,True
bShipTargetingDestructionLerpDistance,True
bShipTargetingDestructionLerpFOV,False
bShipTargetingDestructionLerpTimeUseRealTime,False
bShipTargetingIntroLerpDistance,True
bShipTargetingIntroLerpFOV,False
bShowShieldImpactInFirstPerson,False
bSpaceshipAimAssistOuterCircleIsCenteredOnAimCursor,True
bSpaceshipDestructionDetachAngularImpulseUseDelay,True
bSpaceshipDestructionDetachImpulseEnabled,True
bSpaceshipDestructionSequentialDetach,True
bSpaceshipDispellBoostSpellsOnBoostEnd,True
bSpaceshipNormalizeThrottleSweetSpot,False
bSpaceshipPowerAllocSlowsTime,False
bSpaceshipTargetTrackingLagEnabled,False
bStarMapGalaxyLinearizeDiscoveredColor:StarMap,True
bStarMapGalaxySystemAccumulateBackground:StarMap,False
bTargetingModeTriggerCamAfterDeathTime,False
bTargetingModeUseCamera,True
bTargetingModeWeaponsFireUntilEmpty,False
bThrottleDecreasesToMaxTurnRate:Controls,True
bThrottleIncreasesToMaxTurnRate:Controls,False
bWorkshopFixedPackinGrouping,True
f3rdPersonAimDist:ThirdPersonCam,0.429
f3rdPersonAimDist:ThirdPersonCam,0.43
f3rdPersonAimDollySpeed:ThirdPersonCam,6.0
f3rdPersonAimFOV:ThirdPersonCam,50.0
f3rdPersonAimFOVAnimateSec:ThirdPersonCam,0.15
f3rdPersonImodTransitionTime,0.5
fActivatePickLength,2.14
fActiveEffectConditionUpdateInterval,1.0
fActorAlertSoundTimer,2.0
fActorAlphaFadeSeconds,1.0
fActorAnimZAdjust,1.8
fActorArmorDesirabilityDamageMult,0.5
fActorArmorDesirabilitySkillMult,10.0
fActorDefaultTurningSpeed,6.28
fActorHeadHeightMult,0.9
fActorLeaveWaterBreathTimer,4.0
fActorLookingHeightMult,0.75
fActorLuckSkillMult,0.4
fActorStrengthEncumbranceMult,5.0
fActorSwimBreathDamage,0.2
fActorSwimBreathTime,35.0
fActorTeleportFadeSeconds,0.5
fActorTorsoHeightMult,0.65
fActorWeaponDesirabilityDamageMult,0.5
fActorWeaponDesirabilitySkillMult,10.0
fAggroRadiusViolatedAttackRadiusMult,0.67
fAggroRadiusViolatedCheckProjectileDistance,9.6
fAggroRadiusViolatedCheckProjectileTime,0.1
fAggroRadiusViolatedWarnAttackRadiusMult,0.33
fAiAcquireKillBase,50.0
fAiAcquireKillMult,-1.0
fAIAcquireObjectDistance,4000.0
fAiAcquirePickMult,-1.0
fAiAcquireStealMult,-1.0
fAIActivateHeight,200.0
fAIActivateReach,300.0
fAIActorPackTargetHeadTrackMod,2.0
fAIActorSceneTargetHeadTrackMod,5.0
fAIAddTargetCombatTimerValue,600.0
fAIAimBlockedHalfCircleRadius,3.5
fAIAimBlockedToleranceDegrees,10.0
fAIAwareofPlayerTimer,5.0
fAIBestHeadTrackDistance,50.0
fAIBestSceneHeadTrackDistance,10.0
fAIButtonDelayOnInterrupt,0.08
fAICanInterruptGreetingTimer,1.0
fAICombatFleeScoreThreshold,10.0
fAICombatNoTargetLOSPriorityMult,1.0
fAICombatTargetUnreachablePriorityMult,0.25
fAICombatUnreachableTargetPriorityMult,0.9
fAICommentTimeWindow,1.0
fAICommentWaitingForPlayerInput,10.0
fAIConversationExploreTime,0.25
fAIDefaultSpeechMult,0.05
fAIDelayShowDialogueMenuonFocus,1.0
fAIDialogueDistance,2.43
fAIDialogueGunDownTimer,0.5
fAIDistanceRadiusForceToMinLocation,0.36
fAIDistanceRadiusMinLocation,1.43
fAIDistanceTeammateDrawWeapon,20.0
fAIDodgeDecisionBase,10.0
fAIDodgeFavorLeftRightMult,2.0
fAIDodgeVerticalRangedAttackMult,0.1
fAIDodgeWalkChance,75.0
fAIEngergyLevelMult,1.0
fAIEscortDefaultWaitDistance,10.0
fAIEscortFastTravelMaxDistFromPath,50.0
fAIEscortHysteresisWidth,2.0
fAIEscortMatchSpeedTimer,0.5
fAIEscortStartStopDelayTime,1.0
fAIExclusiveGreetingTimer,2.0
fAIExplosiveWeaponDamageMult,1.0
fAIExplosiveWeaponRangeMult,1.0
fAIFaceTargetAnimationAngle,35.0
fAIFindBedChairsDistance,8000.0
fAIFleeConfBase,40.0
fAIFleeConfMult,-0.5
fAIFleeHealthMult,20.0
fAIFleeSuccessTimeout,120.0
fAIForceGreetingTimer,3.0
fAIFurnitureDestinationRadius,25.0
fAIGreetingTimer,20.0
fAIHeadTrackDialogueOffsetRandomValue,30.0
fAIHeadTrackDialoguePickNewOffsetTimer,5.0
fAIHeadTrackDialogueResetPositionTimer,10.0
fAIHeadTrackDialogueStayInOffsetMax,4.0
fAIHeadTrackDialogueStayInOffsetMin,1.0
fAIHeadTrackOffsetRandomValueMax,60.0
fAIHeadTrackOffsetRandomValueMin,30.0
fAIHeadTrackPickNewOffsetTimer,2.0
fAIHeadTrackResetPositionTimer,10.0
fAIHeadTrackStayInOffsetMax,6.0
fAIHeadTrackStayInOffsetMin,3.0
fAIHelloTimer,5.0
fAIHoldDefaultHeadTrackTimer,5.0
fAIHoldSpeakerDefaultHeadTrackTimer,1.5
fAIHorseSearchDistance,3000.0
fAIIdleAnimationDistance,30.0
fAIIdleAnimationLargeCreatureDistanceMult,3.0
fAIIdleChatterDistance,14.29
